,item_id,item_name,developer,user_id,playtime_forever,recommend,sentiment_score,posted_year,Action,Casual,Indie,Simulation,Strategy,Free to Play,RPG,Sports,Adventure,Racing,Early Access,Massively Multiplayer,Animation &amp; Modeling,Video Production,Utilities,Web Publishing,Education,Software Training,Design &amp; Illustration,Audio Production,Photo Editing,Accounting
758705,107200,Space Pirates and Zombies,MinMax Games Ltd.,76561198069679264,55,True,2,2014,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632180,97330,Magic: The Gathering - Duels of the Planeswalkers 2013,Stainless Games,Ezenthar,60,True,2,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503475,21100,F.E.A.R. 3,Day 1 Studios,76561198023478539,47,True,2,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012772,335430,Grimoire: Manastorm,Omniconnection,u2late,40,True,2,2015,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126075,299360,Block N Load,"Jagex,Artplant",Lambda212793,36,True,2,2015,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1058291,510050,You Have 10 Seconds,tamationgames,tome1000,9,True,2,2014,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171393,242920,Banished,Shining Rock Software LLC,MellowBiscuits,34,True,2,2014,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857004,218130,Dungeonland,Critical Studio,tomeyoung,3,True,2,2014,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966515,257710,Max Gentlemen,The Men Who Wear Many Hats,chicken_tonight,6,True,2,2014,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026928,51100,Tactical Intervention,"FIX Korea, Co.LTD,FIX Games, Co. LTD",kiddhappymeal,77,True,0,2012,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082146,40,Deathmatch Classic,Valve,kimmybeeea,45,False,0,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091270,365720,Skyrim Script Extender (SKSE),The SKSE Team,Hizamo,1,True,2,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166056,33930,Arma 2: Operation Arrowhead,Bohemia Interactive,bawssnass,4,True,2,2014,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436516,72200,Universe Sandbox,Giant Army,epic_doom,85,True,2,2014,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857862,33910,Arma 2,Bohemia Interactive,omzo,1,True,2,2014,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882344,219640,Chivalry: Medieval Warfare,Torn Banner Studios,BigSmokePhil,77,False,2,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256901,250180,METAL SLUG 3,"SNK CORPORATION,DotEmu",76561198054767146,25,True,2,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61523,302010,The Blue Flamingo,Might and Delight,Nipsey,35,True,2,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795283,214420,Gear Up,Doctor Entertainment AB,heavykiinthesandvichborn,15,True,0,2015,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100741,209870,Blacklight: Retribution,Hardsuit Labs,LukasTrotacielos,12,True,2,2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033952,211580,Wanderlust: Rebirth,Yeti Trunk,BladedTaco,82,True,2,2014,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
707757,336670,HIT,Shifty Chair Games,GoldenCookies,1,True,2,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507531,264140,Pixel Piracy,Vitali Kirpu,76561198070166636,10,False,2,2015,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
